,cash,LQD,EFA,IEF,EEM,TLT,SHY,SPY
2008-12-05,0.0,0.0,0.0,0.0,0.0,0.0,1.2021751908462586,1.2953108134208604e-10
2008-12-08,0.0,0.0,0.0,0.0,0.0,0.0,1.2004709529611886,1.3405356980719598e-10
2008-12-09,0.0,0.0,0.0,0.0,0.0,0.0,1.2041636950665076,1.3184386791090602e-10
2008-12-10,0.0,0.0,0.0,0.0,0.0,0.0,1.2026014048772993,1.3274247589259937e-10
2008-12-11,0.0,0.0,0.0,0.0,0.0,0.0,1.2054423371596303,1.2954582034468603e-10
2008-12-12,0.0,0.0,0.0,0.0,0.0,0.0,1.2060098806474393,1.3109259105809937e-10
2008-12-15,0.0,0.0,0.0,0.0,0.0,0.0,1.2068621850617023,1.292659412623477e-10
2008-12-16,0.0,0.0,0.0,0.0,0.0,0.0,1.2074303467886047,1.3534996889202763e-10
2008-12-17,0.0,0.0,0.0,0.0,0.0,0.0,1.2048739281370904,1.3403881608031768e-10
2008-12-18,0.0,0.0,0.0,0.0,0.0,0.0,1.2054423371596303,1.31534569720481e-10
2008-12-19,0.0,0.0,0.0,0.0,0.0,0.0,1.2043060137058255,1.3096874515313577e-10
2008-12-22,0.0,0.0,0.0,0.0,0.0,0.0,1.2020326249113036,1.2929058970425816e-10
2008-12-23,0.0,0.0,0.0,0.0,0.0,0.0,1.202317262189939,1.2795403751244336e-10
2008-12-24,0.0,0.0,0.0,0.0,0.0,0.0,1.2026014048772997,1.2869653869537032e-10
2008-12-26,0.0,0.0,0.0,0.0,0.0,0.0,1.2040210054837344,1.2943909877541056e-10
2008-12-29,0.0,0.0,0.0,0.0,0.0,0.0,1.2066741167294681,1.2906779664897294e-10
2008-12-30,0.0,0.0,0.0,0.0,0.0,0.0,1.207813655026559,1.3212714830153667e-10
2008-12-31,0.0,0.0,0.0,0.0,0.0,0.0,1.2072446277649258,1.3401312221464635e-10
2009-01-02,0.0,0.0,0.0,0.0,0.0,0.0,1.2008273060615773,1.2079342873993032e-10
2009-01-05,0.0,0.0,0.0,0.0,0.0,0.0,1.2032516688429011,1.2065046086037097e-10
2009-01-06,0.0,0.0,0.0,0.0,0.0,0.0,1.2038221798784001,1.2145610296296484e-10
2009-01-07,0.0,0.0,0.0,0.0,0.0,0.0,1.2029664133251516,1.178177462875612e-10
2009-01-08,0.0,0.0,0.0,0.0,0.0,0.0,1.2032516688429011,1.18298557431578e-10
2009-01-09,0.0,0.0,0.0,0.0,0.0,0.0,1.2041073117483307,1.1576468785599792e-10
2009-01-12,0.0,0.0,0.0,0.0,0.0,0.0,1.2043924436182614,1.1298393232241159e-10
2009-01-13,0.0,0.0,0.0,0.0,0.0,0.0,1.2045342676663144,1.1319184578013246e-10
2009-01-14,0.0,0.0,0.0,0.0,0.0,0.0,1.2059602979594242,1.0963145987224193e-10
2009-01-15,0.0,0.0,0.0,0.0,0.0,0.0,1.2046776991360106,1.0967041948905615e-10
2009-01-16,0.0,0.0,0.0,0.0,0.0,0.0,1.205247962875872,1.1052807216475814e-10
2009-01-20,0.0,0.0,0.0,0.0,0.0,0.0,1.2058182266157336,1.0469368917823186e-10
2009-01-21,0.0,0.0,0.0,0.0,0.0,0.0,1.20396425122209,1.0921567160721367e-10
2009-01-22,0.0,0.0,0.0,0.0,0.0,0.0,1.2045342676663142,1.0752638442583493e-10
2009-01-23,0.0,0.0,0.0,0.0,0.0,0.0,1.2042501249789332,1.0799420903091367e-10
2009-01-26,0.0,0.0,0.0,0.0,0.0,0.0,1.2026815287508579,1.0873487334666804e-10
2009-01-27,0.0,0.0,0.0,0.0,0.0,0.0,1.2039642512220903,1.0983937332996281e-10
2009-01-28,0.0,0.0,0.0,0.0,0.0,0.0,1.2035368007128315,1.135557007728796e-10
2009-01-29,0.0,0.0,0.0,0.0,0.0,0.0,1.201255127514292,1.0986539794172364e-10
2009-01-30,0.0,0.0,0.0,0.0,0.0,0.0,1.2019679571891189,1.0763034759643096e-10
2009-02-02,0.0,0.0,0.0,0.0,0.0,0.0,1.2030820240917062,1.2102023497620276e-10
2009-02-03,0.0,0.0,0.0,0.0,0.0,0.0,1.2017970759596774,1.2272022175620715e-10
2009-02-04,0.0,0.0,0.0,0.0,0.0,0.0,1.1997975670833265,1.2211941615466524e-10
2009-02-05,0.0,0.0,0.0,0.0,0.0,0.0,1.2000826989532705,1.2393659555309418e-10
2009-02-06,0.0,0.0,0.0,0.0,0.0,0.0,1.199368632800223,1.2746847346993862e-10
2009-02-09,0.0,0.0,0.0,0.0,0.0,0.0,1.198940934995307,1.2764431688549547e-10
2009-02-10,0.0,0.0,0.0,0.0,0.0,0.0,1.201653768137793,1.217969857040856e-10
2009-02-11,0.0,0.0,0.0,0.0,0.0,0.0,1.201367770733118,1.2251501298427611e-10
2009-02-12,0.0,0.0,0.0,0.0,0.0,0.0,1.2027967685739434,1.226030073426146e-10
2009-02-13,0.0,0.0,0.0,0.0,0.0,0.0,1.20051101499728,1.212840800151541e-10
2009-02-17,0.0,0.0,0.0,0.0,0.0,0.0,1.2036531533663253,1.1609619070230648e-10
2009-02-18,0.0,0.0,0.0,0.0,0.0,0.0,1.201653768137793,1.1581783008145617e-10
2009-02-19,0.0,0.0,0.0,0.0,0.0,0.0,1.201225946685058,1.14572141783587e-10
2009-02-20,0.0,0.0,0.0,0.0,0.0,0.0,1.2022246501167746,1.1345833604738549e-10
2009-02-23,0.0,0.0,0.0,0.0,0.0,0.0,1.2020827024208962,1.093989642091505e-10
2009-02-24,0.0,0.0,0.0,0.0,0.0,0.0,1.201225946685058,1.1354622142988388e-10
2009-02-25,0.0,0.0,0.0,0.0,0.0,0.0,1.198940934995307,1.1265232167391252e-10
2009-02-26,0.0,0.0,0.0,0.0,0.0,0.0,1.1995115696786514,1.1082045233224048e-10
2009-02-27,0.0,0.0,0.0,0.0,0.0,0.0,1.2002253885360612,1.0834379473996928e-10
2009-03-02,0.0,0.0,0.0,0.0,0.0,0.0,1.2029288244965568,1.2100482434697553e-10
2009-03-03,0.0,0.0,0.0,0.0,0.0,0.0,1.2019278954040602,1.2009640103821005e-10
2009-03-04,0.0,0.0,0.0,0.0,0.0,0.0,1.2006404743156012,1.2294162831595864e-10
2009-03-05,0.0,0.0,0.0,0.0,0.0,0.0,1.2020716978172257,1.17919699359856e-10
2009-03-06,0.0,0.0,0.0,0.0,0.0,0.0,1.2012127164206137,1.1812538908672614e-10
2009-03-09,0.0,0.0,0.0,0.0,0.0,0.0,1.2000682322105891,1.1673712787538555e-10
2009-03-10,0.0,0.0,0.0,0.0,0.0,0.0,1.1993530532271426,1.23695724852205e-10
2009-03-11,0.0,0.0,0.0,0.0,0.0,0.0,1.1999255426277924,1.2450125231693555e-10
2009-03-12,0.0,0.0,0.0,0.0,0.0,0.0,1.2003544769109142,1.2940317294098622e-10
2009-03-13,0.0,0.0,0.0,0.0,0.0,0.0,1.2013556532990484,1.304144071261202e-10
2009-03-16,0.0,0.0,0.0,0.0,0.0,0.0,1.1997828530449954,1.300201911409968e-10
2009-03-17,0.0,0.0,0.0,0.0,0.0,0.0,1.1994964846968519,1.3399659296179823e-10
2009-03-18,0.0,0.0,0.0,0.0,0.0,0.0,1.2040731850587632,1.3699596857996646e-10
2009-03-19,0.0,0.0,0.0,0.0,0.0,0.0,1.2026429507396885,1.3529914728802071e-10
2009-03-20,0.0,0.0,0.0,0.0,0.0,0.0,1.204073185058763,1.3241809764210934e-10
2009-03-23,0.0,0.0,0.0,0.0,0.0,0.0,1.2030725032619036,1.419295226662254e-10
