,cash,SPY,LQD,EEM,EFA,TLT,IEF,SHY
2005-05-11,0.0,3.742791076918488e-17,0.0,1.4552893761460085e-16,1.1144862957377726e-16,0.9374023886667615,5.2133456287990243e-17,0.0
2005-05-12,0.0,3.701608861174737e-17,0.0,1.430443628091118e-16,1.100630832992088e-16,0.9410678487309151,5.2182194277288413e-17,0.0
2005-05-13,0.0,3.6942662506628457e-17,0.0,1.4157482657125988e-16,1.094235791626911e-16,0.9447330443461707,5.231638584958685e-17,0.0
2005-05-16,0.0,3.728744551220517e-17,0.0,1.4325733267394245e-16,1.0986410325904856e-16,0.9436132354872231,5.232248660635089e-17,0.0
2005-05-17,0.0,3.753644807625956e-17,0.0,1.4329277102254143e-16,1.0984988606951469e-16,0.946259245049253,5.238957343660352e-17,0.0
2005-05-18,0.0,3.79227360534357e-17,0.0,1.4614656041580676e-16,1.1109338841018505e-16,0.9525703180020894,5.256034805533435e-17,0.0
2005-05-19,0.0,3.808236217018976e-17,0.0,1.466790020665451e-16,1.1117153244152636e-16,0.9501280002038107,5.2401739126545195e-17,0.0
2005-05-20,0.0,3.8028073067495775e-17,0.0,1.4630983844475432e-16,1.1070254029203784e-16,0.9512482718483299,5.2395706434595314e-17,0.0
2005-05-23,0.0,3.823878458573644e-17,0.0,1.4679262223693334e-16,1.1161915503043177e-16,0.9586790875478894,5.263352131291645e-17,0.0
2005-05-24,0.0,3.8149404730243335e-17,0.0,1.4636669949593398e-16,1.1132783397383432e-16,0.9613262210177362,5.277374557716477e-17,0.0
2005-05-25,0.0,3.8120673665160135e-17,0.0,1.4531598473843213e-16,1.1102230246251568e-16,0.9546072356396014,5.258471884116276e-17,0.0
2005-05-26,0.0,3.832498118917881e-17,0.0,1.4694879900523165e-16,1.1109338841018503e-16,0.9543025905090057,5.2615247701493445e-17,0.0
2005-05-27,0.0,3.8388830272603324e-17,0.0,1.4794261873423014e-16,1.1155521471899898e-16,0.9553200576443938,5.267016525944574e-17,0.0
2005-05-31,0.0,3.814300755240689e-17,0.0,1.466648335225702e-16,1.1009860270119914e-16,0.967129618198471,5.294456676655793e-17,0.0
2005-06-01,0.0,0.0,1.4469563892276013e-16,0.13839677735446734,1.7195842225675016e-16,0.8405749947247698,1.214125542497928e-16,0.0
2005-06-02,0.0,0.0,1.4525367896232336e-16,0.13944947277136088,1.734255237671038e-16,0.8425927411478024,1.213707346973998e-16,0.0
2005-06-03,0.0,0.0,1.4448798501582255e-16,0.13872780238901108,1.718040587540502e-16,0.8356617296761629,1.206736088008805e-16,0.0
